-19.199,-17.211,-15.386,-13.614,-11.552,-9.1278,-6.0239,-4.3216,-4.0023,-4.269,-4.5734,-4.265,-3.8415,-3.7211,-3.625,-3.4469,-3.1663,-2.3431,-2.4455,-3.4725,-3.894,-5.4219,-9.7126,-15.129,-17.336,-17.262,-16.829,-17.731
-15.955,-14.09,-12.397,-10.674,-8.5823,-6.0495,-2.2252,-0.44567,-0.22448,-0.82443,-1.7143,-0.98192,-0.23802,-0.17637,0.037994,0.7744,1.6902,3.5468,4.3976,3.3416,2.1441,0.010314,-5.9724,-12.62,-14.321,-13.516,-12.586,-13.542
-12.833,-11.095,-9.538,-7.785,-5.5352,-2.9444,0.93896,3.5347,3.7232,3.2988,2.1451,2.8287,3.1166,3.5064,4.1424,5.5514,8.2438,11.577,14.484,13.135,9.181,4.8603,-3.0112,-9.9348,-10.696,-9.3983,-8.2802,-9.543
-9.6993,-8.0957,-6.726,-4.772,-2.1452,1.5963,5.9914,8.9695,9.7612,10.209,11.302,10.728,9.9299,11.327,12.663,15.121,19.945,24.68,27.42,24.535,18.023,11.124,0.43399,-4.7514,-5.4367,-4.6393,-3.9448,-5.7908
-4.5767,-3.0221,-2.3034,-0.17934,6.6041,14.267,18.546,23.109,27.131,29.503,34.234,35.87,36.957,38.662,39.805,39.956,40.005,39.778,41.1,40.343,35.598,27.828,22.074,15.373,8.2449,3.8347,1.4364,-1.1117
-2.2765,-0.4201,0.54652,3.5225,11.895,21.014,25.26,31.983,37.812,39.276,39.956,38.52,35.808,32.429,29.04,24.979,21.519,21.791,29.303,36.392,40.142,35.324,29.873,23.439,14.068,7.2254,2.7613,-0.57948
-0.82272,1.5532,3.9489,8.0831,15.224,22.632,30.167,38.737,42.956,41.713,32.866,22.808,17.153,13.499,12.58,12.457,12.831,13.889,19.679,30.489,40.161,38.939,33.011,25.029,16.332,8.677,2.4166,-1.385
-0.15395,2.3311,5.372,9.5944,15.355,21.462,29.401,37.375,41.977,41.255,33.216,24.043,18.935,16.416,17.351,19.998,23.622,26.04,30.508,36.119,40.685,37.715,30.63,22.451,14.503,7.2127,0.83858,-3.1062
-0.44662,2.1562,5.3208,9.3551,14.406,19.801,24.58,30.224,36.009,38.503,40.062,39.612,38.004,36.85,36.746,38.286,39.251,40.18,40.328,39.192,35.879,29.622,22.911,15.129,7.7217,3.2343,-2.0419,-5.9849
-2.1398,0.48158,3.5104,7.1862,11.415,15.224,18.2,20.644,25.384,28.182,32.585,34.456,35.165,35.177,35.677,35.945,34.326,32.287,30.013,27.298,23.499,18.38,11.815,3.4914,-0.59905,-2.2004,-5.9671,-9.7994
-3.9904,-1.3767,1.5229,4.7218,8.1367,11.028,13.199,15.25,17.544,19.392,22.539,22.593,22.403,21.634,23.408,24.756,22.615,20.29,19.134,16.782,14.615,10.819,4.6069,-1.4872,-5.0617,-6.5434,-9.5366,-13.055
-6.4055,-3.7224,-1.0537,1.6512,4.1847,6.402,7.8952,9.0675,10.438,11.559,12.963,12.392,11.682,11.313,12.749,13.51,11.997,10.114,8.6713,7.108,5.249,3.0679,-1.5613,-6.0524,-9.1925,-11.073,-13.78,-16.977
-9.8924,-7.2098,-4.684,-2.5098,-0.59468,1.1308,1.6596,2.2644,3.1274,3.737,4.4601,4.4521,4.2634,4.1292,4.3614,4.2507,2.7721,1.06,-0.52286,-2.4728,-4.1254,-5.7137,-8.531,-11.897,-14.532,-16.589,-19.269,-22.231
-13.856,-11.222,-8.8592,-6.9268,-5.2343,-4.0421,-3.803,-3.4561,-2.734,-2.2318,-1.5219,-1.0283,-0.69506,-0.89142,-1.0908,-1.8377,-3.5604,-5.598,-7.8208,-9.4389,-11.349,-13.106,-15.203,-17.746,-20.025,-22.107,-24.847,-27.72
